Name,Date,Value
Nasdaq100,2019-11-08,8255.89
Nasdaq100,2019-11-11,8241.91
Nasdaq100,2019-11-12,8263.79
Nasdaq100,2019-11-13,8259.81
Nasdaq100,2019-11-14,8257.83
Nasdaq100,2019-11-15,8315.52
Nasdaq100,2019-11-18,8328.48
Nasdaq100,2019-11-19,8338.74
Nasdaq100,2019-11-20,8283.75
Nasdaq100,2019-11-21,8265.62
Nasdaq100,2019-11-22,8272.05
Nasdaq100,2019-11-25,8371.93
Nasdaq100,2019-11-26,8385.75
Nasdaq100,2019-11-27,8444.71
Nasdaq100,2019-11-29,8403.68
Nasdaq100,2019-12-02,8309.26
Nasdaq100,2019-12-03,8254.74
Nasdaq100,2019-12-04,8296.53
Nasdaq100,2019-12-05,8308.4
Nasdaq100,2019-12-06,8397.37
Nasdaq100,2019-12-09,8362.74
Nasdaq100,2019-12-10,8354.29
Nasdaq100,2019-12-11,8402.61
Nasdaq100,2019-12-12,8466.89
Nasdaq100,2019-12-13,8487.71
Nasdaq100,2019-12-16,8570.33
Nasdaq100,2019-12-17,8575.7
Nasdaq100,2019-12-18,8580.62
Nasdaq100,2019-12-19,8641.29
Nasdaq100,2019-12-20,8678.49
Nasdaq100,2019-12-23,8696.01
Nasdaq100,2019-12-24,8699.51
Nasdaq100,2019-12-26,8778.31
Nasdaq100,2019-12-27,8770.98
Nasdaq100,2019-12-30,8709.73
Nasdaq100,2019-12-31,8733.07
Nasdaq100,2020-01-02,8872.22
Nasdaq100,2020-01-03,8793.9
Nasdaq100,2020-01-06,8848.52
Nasdaq100,2020-01-07,8846.45
Nasdaq100,2020-01-08,8912.37
Nasdaq100,2020-01-09,8989.63
Nasdaq100,2020-01-10,8966.64
Nasdaq100,2020-01-13,9070.65
Nasdaq100,2020-01-14,9033.42
Nasdaq100,2020-01-15,9035.67
Nasdaq100,2020-01-16,9125.0
Nasdaq100,2020-01-17,9173.73
Nasdaq100,2020-01-21,9166.63
Nasdaq100,2020-01-22,9188.58
Nasdaq100,2020-01-23,9216.98
Nasdaq100,2020-01-24,9141.47
Nasdaq100,2020-01-27,8952.18
Nasdaq100,2020-01-28,9090.93
Nasdaq100,2020-01-29,9101.61
Nasdaq100,2020-01-30,9136.09
Nasdaq100,2020-01-31,8991.51
Nasdaq100,2020-02-03,9126.23
Nasdaq100,2020-02-04,9334.06
Nasdaq100,2020-02-05,9367.48
Nasdaq100,2020-02-06,9445.92
Nasdaq100,2020-02-07,9401.1
Nasdaq100,2020-02-10,9516.84
Nasdaq100,2020-02-11,9517.86
Nasdaq100,2020-02-12,9613.2
Nasdaq100,2020-02-13,9595.7
Nasdaq100,2020-02-14,9623.58
Nasdaq100,2020-02-18,9629.8
Nasdaq100,2020-02-19,9718.73
Nasdaq100,2020-02-20,9627.83
Nasdaq100,2020-02-21,9446.69
Nasdaq100,2020-02-24,9079.63
Nasdaq100,2020-02-25,8834.87
Nasdaq100,2020-02-26,8873.76
Nasdaq100,2020-02-27,8436.67
Nasdaq100,2020-02-28,8461.83
Nasdaq100,2020-03-02,8877.98
Nasdaq100,2020-03-03,8594.49
Nasdaq100,2020-03-04,8949.28
Nasdaq100,2020-03-05,8671.66
Nasdaq100,2020-03-06,8530.34
Nasdaq100,2020-03-09,7948.03
Nasdaq100,2020-03-10,8372.27
Nasdaq100,2020-03-11,8006.12
Nasdaq100,2020-03-12,7263.65
Nasdaq100,2020-03-13,7995.26
Nasdaq100,2020-03-16,7020.38
Nasdaq100,2020-03-17,7473.95
Nasdaq100,2020-03-18,7175.18
Nasdaq100,2020-03-19,7288.52
Nasdaq100,2020-03-20,6994.29
Nasdaq100,2020-03-23,7006.92
Nasdaq100,2020-03-24,7553.83
Nasdaq100,2020-03-25,7469.62
Nasdaq100,2020-03-26,7897.13
Nasdaq100,2020-03-27,7588.37
Nasdaq100,2020-03-30,7889.01
Nasdaq100,2020-03-31,7813.5
Nasdaq100,2020-04-01,7486.29
Nasdaq100,2020-04-02,7635.66
Nasdaq100,2020-04-03,7528.11
Nasdaq100,2020-04-06,8081.66
Nasdaq100,2020-04-07,8049.31
Nasdaq100,2020-04-08,8229.54
Nasdaq100,2020-04-09,8238.53
Nasdaq100,2020-04-13,8332.74
Nasdaq100,2020-04-14,8692.16
Nasdaq100,2020-04-15,8591.96
Nasdaq100,2020-04-16,8757.83
Nasdaq100,2020-04-17,8832.41
Nasdaq100,2020-04-20,8726.51
Nasdaq100,2020-04-21,8403.0
Nasdaq100,2020-04-22,8664.64
Nasdaq100,2020-04-23,8641.5
Nasdaq100,2020-04-24,8786.6
Nasdaq100,2020-04-27,8837.66
Nasdaq100,2020-04-28,8677.6
Nasdaq100,2020-04-29,8982.76
Nasdaq100,2020-04-30,9000.51
Nasdaq100,2020-05-01,8718.18
Nasdaq100,2020-05-04,8834.11
Nasdaq100,2020-05-05,8930.62
Nasdaq100,2020-05-06,8984.86
Nasdaq100,2020-05-07,9101.88
Nasdaq100,2020-05-08,9220.35
